Medidas
29,98
29,98
29,98
29,94
29,93
29,95
29,94
29,93
29,96
29,92
29,97
29,93
29,87
29,96
29,95
29,93
29,95
29,92
29,96
29,98
29,95
29,96
29,95
29,96
29,95
29,95
29,95
29,94
29,94
29,95
29,92
29,92
29,94
29,92
29,94
29,92
29,93
29,93
29,94
29,98
29,94
29,98
29,96
29,91
29,99
29,92
29,92
29,87
29,94
29,93
29,95
29,96
29,95
29,96
29,95
29,96
29,96
29,95
29,91
29,93
29,89
29,93
29,9
29,93
29,92
29,92
29,99
29,97
29,92
29,95
29,91
29,88
29,93
29,96
29,96
29,92
29,92
29,92
29,97
29,93
29,92
29,94
29,91
29,91
29,93
29,94
29,93
29,92
29,88
29,92
29,94
29,93
29,92
29,94
29,96
29,91
29,95
29,97
29,92
29,97
29,89
29,95
29,93
29,93
29,94
29,95
29,91
29,97
29,94
29,97
